ref_date_raw,start_year,geo,sex,age_group,indicator,value,uom,metric_type,quality_flag,ref_date,dguid,characteristic,uom_id,scalar_factor,scalar_id,vector,coordinate,symbol,terminated,decimals
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",59.6,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947379,2.1.2.3.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",55.8,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947379,2.1.2.3.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947386,2.1.2.4.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.3,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947386,2.1.2.4.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived mental health, fair or poor",14.8,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947386,2.1.2.4.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",14.3,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947393,2.1.2.5.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",15.8,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947393,2.1.2.5.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",15.7,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947393,2.1.2.5.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over",Mood disorder,8.7,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947435,2.1.2.11.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over",Mood disorder,10.1,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947435,2.1.2.11.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over",Mood disorder,12.8,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947435,2.1.2.11.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over",Anxiety disorder,9.9,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947442,2.1.2.12.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over",Anxiety disorder,13.3,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947442,2.1.2.12.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000210,Percent,239,units,0,v1806947442,2.1.2.12.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.5,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947463,2.1.2.15.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.3,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947463,2.1.2.15.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Cannabis use, past 12 months",26.5,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947463,2.1.2.15.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over",Heavy drinking,30.3,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947491,2.1.2.19.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over",Heavy drinking,32.5,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947491,2.1.2.19.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over",Heavy drinking,29.7,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947491,2.1.2.19.4,,,1
2019/2020,2019,Newfoundland and Labrador,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",78.0,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947505,2.1.2.23.4,,,1
2021/2022,2021,Newfoundland and Labrador,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",77.2,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947505,2.1.2.23.4,,,1
2023/2024,2023,Newfoundland and Labrador,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",74.0,percent,percent,,2023/2024,2021A000210,Percent,239,units,0,v1806947505,2.1.2.23.4,,,1
2019/2020,2019,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",67.1,percent,percent,,2019/2020,2021A000210,Percent,239,units,0,v1806947540,2.1.3.3.4,,,1
2021/2022,2021,Newfoundland and Labrador,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",57.0,percent,percent,,2021/2022,2021A000210,Percent,239,units,0,v1806947540,2.1.3.3.4,,,1
