ref_date_raw,start_year,geo,sex,age_group,indicator,value,uom,metric_type,quality_flag,ref_date,dguid,characteristic,uom_id,scalar_factor,scalar_id,vector,coordinate,symbol,terminated,decimals
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over",Mood disorder,13.1,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983760,15.1.1.11.4,,,1
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over",Mood disorder,15.7,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983760,15.1.1.11.4,,,1
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over",Anxiety disorder,13.5,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983767,15.1.1.12.4,,,1
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over",Anxiety disorder,15.8,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983767,15.1.1.12.4,,,1
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000213,Percent,239,units,0,v1806983767,15.1.1.12.4,,,1
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.6,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983788,15.1.1.15.4,,,1
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.7,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983788,15.1.1.15.4,,,1
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",25.2,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983788,15.1.1.15.4,,,1
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over",Heavy drinking,19.7,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983816,15.1.1.19.4,,,1
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over",Heavy drinking,21.1,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983816,15.1.1.19.4,,,1
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over",Heavy drinking,21.1,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983816,15.1.1.19.4,,,1
2019/2020,2019,New Brunswick,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.5,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983844,15.1.1.23.4,,,1
2021/2022,2021,New Brunswick,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.5,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983844,15.1.1.23.4,,,1
2023/2024,2023,New Brunswick,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",63.0,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983844,15.1.1.23.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",64.4,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983879,15.1.2.3.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",58.0,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983879,15.1.2.3.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",49.7,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983879,15.1.2.3.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.1,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983886,15.1.2.4.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, fair or poor",12.4,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983886,15.1.2.4.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Perceived mental health, fair or poor",16.2,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983886,15.1.2.4.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",16.2,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983893,15.1.2.5.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.0,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983893,15.1.2.5.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.3,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983893,15.1.2.5.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over",Mood disorder,10.1,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983935,15.1.2.11.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over",Mood disorder,10.4,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983935,15.1.2.11.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over",Mood disorder,12.3,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983935,15.1.2.11.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over",Anxiety disorder,11.9,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983942,15.1.2.12.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over",Anxiety disorder,11.9,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983942,15.1.2.12.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000213,Percent,239,units,0,v1806983942,15.1.2.12.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Cannabis use, past 12 months",30.6,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983963,15.1.2.15.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Cannabis use, past 12 months",28.6,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983963,15.1.2.15.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Cannabis use, past 12 months",27.7,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983963,15.1.2.15.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over",Heavy drinking,26.8,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806983991,15.1.2.19.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over",Heavy drinking,25.7,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806983991,15.1.2.19.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over",Heavy drinking,26.7,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806983991,15.1.2.19.4,,,1
2019/2020,2019,New Brunswick,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.8,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984005,15.1.2.23.4,,,1
2021/2022,2021,New Brunswick,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.9,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984005,15.1.2.23.4,,,1
2023/2024,2023,New Brunswick,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.1,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984005,15.1.2.23.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",58.0,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984040,15.1.3.3.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",50.0,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984040,15.1.3.3.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",48.8,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984040,15.1.3.3.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, fair or poor",9.6,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984047,15.1.3.4.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, fair or poor",17.1,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984047,15.1.3.4.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Perceived mental health, fair or poor",18.4,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984047,15.1.3.4.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.9,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984054,15.1.3.5.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.7,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984054,15.1.3.5.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.7,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984054,15.1.3.5.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over",Mood disorder,13.8,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984096,15.1.3.11.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over",Mood disorder,15.7,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984096,15.1.3.11.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over",Mood disorder,18.9,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984096,15.1.3.11.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over",Anxiety disorder,15.2,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984103,15.1.3.12.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over",Anxiety disorder,19.6,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984103,15.1.3.12.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000213,Percent,239,units,0,v1806984103,15.1.3.12.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Cannabis use, past 12 months",19.1,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984124,15.1.3.15.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Cannabis use, past 12 months",21.1,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984124,15.1.3.15.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Cannabis use, past 12 months",22.8,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984124,15.1.3.15.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over",Heavy drinking,12.9,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984152,15.1.3.19.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over",Heavy drinking,16.8,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984152,15.1.3.19.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over",Heavy drinking,15.8,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984152,15.1.3.19.4,,,1
2019/2020,2019,New Brunswick,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",73.2,percent,percent,,2019/2020,2021A000213,Percent,239,units,0,v1806984180,15.1.3.23.4,,,1
2021/2022,2021,New Brunswick,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.2,percent,percent,,2021/2022,2021A000213,Percent,239,units,0,v1806984180,15.1.3.23.4,,,1
2023/2024,2023,New Brunswick,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",64.7,percent,percent,,2023/2024,2021A000213,Percent,239,units,0,v1806984180,15.1.3.23.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",71.4,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006699,23.1.1.3.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",65.2,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006699,23.1.1.3.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",63.6,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006699,23.1.1.3.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",6.0,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006706,23.1.1.4.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",8.3,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006706,23.1.1.4.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",8.8,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006706,23.1.1.4.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.3,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006713,23.1.1.5.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.4,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006713,23.1.1.5.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.9,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006713,23.1.1.5.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over",Mood disorder,6.2,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006755,23.1.1.11.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over",Mood disorder,7.3,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006755,23.1.1.11.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over",Mood disorder,9.6,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006755,23.1.1.11.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over",Anxiety disorder,8.4,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006762,23.1.1.12.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over",Anxiety disorder,11.2,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006762,23.1.1.12.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000224,Percent,239,units,0,v1807006762,23.1.1.12.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",16.8,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006783,23.1.1.15.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",16.2,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006783,23.1.1.15.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",15.6,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006783,23.1.1.15.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over",Heavy drinking,19.8,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006811,23.1.1.19.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over",Heavy drinking,19.7,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006811,23.1.1.19.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over",Heavy drinking,22.1,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006811,23.1.1.19.4,,,1
2019/2020,2019,Quebec,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",62.9,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006839,23.1.1.23.4,,,1
2021/2022,2021,Quebec,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.6,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006839,23.1.1.23.4,,,1
2023/2024,2023,Quebec,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",56.6,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006839,23.1.1.23.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",75.1,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006874,23.1.2.3.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",68.0,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006874,23.1.2.3.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",66.8,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006874,23.1.2.3.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Perceived mental health, fair or poor",5.7,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006881,23.1.2.4.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Perceived mental health, fair or poor",8.1,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006881,23.1.2.4.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Perceived mental health, fair or poor",8.0,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006881,23.1.2.4.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.0,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006888,23.1.2.5.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.6,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006888,23.1.2.5.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.8,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006888,23.1.2.5.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over",Mood disorder,4.6,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006930,23.1.2.11.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over",Mood disorder,5.8,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006930,23.1.2.11.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over",Mood disorder,7.3,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006930,23.1.2.11.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over",Anxiety disorder,5.7,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006937,23.1.2.12.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over",Anxiety disorder,8.5,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006937,23.1.2.12.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000224,Percent,239,units,0,v1807006937,23.1.2.12.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Cannabis use, past 12 months",22.4,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006958,23.1.2.15.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Cannabis use, past 12 months",20.5,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006958,23.1.2.15.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Cannabis use, past 12 months",19.6,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006958,23.1.2.15.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over",Heavy drinking,23.9,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807006986,23.1.2.19.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over",Heavy drinking,22.4,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807006986,23.1.2.19.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over",Heavy drinking,25.3,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807006986,23.1.2.19.4,,,1
2019/2020,2019,Quebec,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.6,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007000,23.1.2.23.4,,,1
2021/2022,2021,Quebec,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.3,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007000,23.1.2.23.4,,,1
2023/2024,2023,Quebec,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",56.2,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007000,23.1.2.23.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",67.8,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007035,23.1.3.3.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",62.4,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007035,23.1.3.3.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",60.4,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007035,23.1.3.3.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Perceived mental health, fair or poor",6.3,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007042,23.1.3.4.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Perceived mental health, fair or poor",8.4,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007042,23.1.3.4.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Perceived mental health, fair or poor",9.7,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007042,23.1.3.4.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",24.6,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007049,23.1.3.5.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",24.2,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007049,23.1.3.5.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.0,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007049,23.1.3.5.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over",Mood disorder,7.8,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007091,23.1.3.11.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over",Mood disorder,8.7,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007091,23.1.3.11.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over",Mood disorder,11.9,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007091,23.1.3.11.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over",Anxiety disorder,11.1,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007098,23.1.3.12.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over",Anxiety disorder,13.8,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007098,23.1.3.12.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over",Anxiety disorder,,percent,percent,..,2023/2024,2021A000224,Percent,239,units,0,v1807007098,23.1.3.12.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Cannabis use, past 12 months",11.4,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007119,23.1.3.15.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Cannabis use, past 12 months",11.9,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007119,23.1.3.15.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Cannabis use, past 12 months",11.7,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007119,23.1.3.15.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over",Heavy drinking,15.8,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007147,23.1.3.19.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over",Heavy drinking,17.1,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007147,23.1.3.19.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over",Heavy drinking,18.8,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007147,23.1.3.19.4,,,1
2019/2020,2019,Quebec,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",64.3,percent,percent,,2019/2020,2021A000224,Percent,239,units,0,v1807007175,23.1.3.23.4,,,1
2021/2022,2021,Quebec,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",61.9,percent,percent,,2021/2022,2021A000224,Percent,239,units,0,v1807007175,23.1.3.23.4,,,1
2023/2024,2023,Quebec,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",57.1,percent,percent,,2023/2024,2021A000224,Percent,239,units,0,v1807007175,23.1.3.23.4,,,1
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",64.3,percent,percent,,2019/2020,2021A000235,Percent,239,units,0,v1807055974,40.1.1.3.4,,,1
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",54.3,percent,percent,,2021/2022,2021A000235,Percent,239,units,0,v1807055974,40.1.1.3.4,,,1
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",51.3,percent,percent,,2023/2024,2021A000235,Percent,239,units,0,v1807055974,40.1.1.3.4,,,1
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",10.0,percent,percent,,2019/2020,2021A000235,Percent,239,units,0,v1807055981,40.1.1.4.4,,,1
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",14.2,percent,percent,,2021/2022,2021A000235,Percent,239,units,0,v1807055981,40.1.1.4.4,,,1
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",16.3,percent,percent,,2023/2024,2021A000235,Percent,239,units,0,v1807055981,40.1.1.4.4,,,1
2019/2020,2019,Ontario,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.4,percent,percent,,2019/2020,2021A000235,Percent,239,units,0,v1807055988,40.1.1.5.4,,,1
2021/2022,2021,Ontario,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.1,percent,percent,,2021/2022,2021A000235,Percent,239,units,0,v1807055988,40.1.1.5.4,,,1
2023/2024,2023,Ontario,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.5,percent,percent,,2023/2024,2021A000235,Percent,239,units,0,v1807055988,40.1.1.5.4,,,1
