ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Both sexes,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",8.5,6.4,11.2,percent,percent,
2016,2016,Alberta,Both sexes,65 years and over,"Main source of stress in day-to-day life, work",4.9,3.6,6.7,percent,percent,E
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",89.1,87.9,90.1,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",81.7,80.3,83.0,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, family",14.5,13.3,15.7,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",20.2,18.8,21.8,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, health",6.7,6.0,7.5,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none",8.9,8.0,9.9,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other",2.5,2.1,3.1,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",22.2,19.9,24.8,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",13.2,12.0,14.6,percent,percent,
2016,2016,Alberta,Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, work",25.1,23.7,26.6,percent,percent,
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",86.0,78.9,91.0,percent,percent,
2016,2016,Alberta,Females,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",72.8,65.3,79.1,percent,percent,
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, family",5.9,3.3,10.2,percent,percent,E
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, none",4.0,2.2,7.0,percent,percent,E
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",73.7,66.2,80.0,percent,percent,
2016,2016,Alberta,Females,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",10.4,6.3,16.7,percent,percent,E
2016,2016,Alberta,Females,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",86.3,82.8,89.1,percent,percent,
