ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-04,2021,Newfoundland and Labrador,Men,Good perceived health,35.9,27.6,45.2,percent,percent,
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,53.1,47.0,59.0,percent,percent,
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,13.9,10.2,18.8,percent,percent,
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,33.0,27.6,38.9,percent,percent,
2021-04,2021,Newfoundland and Labrador,Women,Excellent or very good perceived health,59.2,51.6,66.4,percent,percent,
2021-04,2021,Newfoundland and Labrador,Women,Fair or poor perceived health,10.6,6.6,16.6,percent,percent,
2021-04,2021,Newfoundland and Labrador,Women,Good perceived health,30.2,23.6,37.7,percent,percent,
2021-04,2021,Nova Scotia,Men,Excellent or very good perceived health,62.1,54.3,69.4,percent,percent,
2021-04,2021,Nova Scotia,Men,Fair or poor perceived health,12.3,8.6,17.2,percent,percent,
2021-04,2021,Nova Scotia,Men,Good perceived health,25.6,19.3,33.1,percent,percent,
2021-04,2021,Nova Scotia,"Total, all persons",Excellent or very good perceived health,58.4,53.7,63.0,percent,percent,
2021-04,2021,Nova Scotia,"Total, all persons",Fair or poor perceived health,12.6,9.9,15.9,percent,percent,
2021-04,2021,Nova Scotia,"Total, all persons",Good perceived health,29.0,24.8,33.6,percent,percent,
2021-04,2021,Nova Scotia,Women,Excellent or very good perceived health,54.9,48.7,60.9,percent,percent,
2021-04,2021,Nova Scotia,Women,Fair or poor perceived health,12.9,9.4,17.4,percent,percent,
2021-04,2021,Nova Scotia,Women,Good perceived health,32.2,26.7,38.3,percent,percent,
2021-04,2021,Ontario,Men,Excellent or very good perceived health,57.8,54.5,61.0,percent,percent,
2021-04,2021,Ontario,Men,Fair or poor perceived health,11.5,9.7,13.7,percent,percent,
2021-04,2021,Ontario,Men,Good perceived health,30.7,27.6,33.9,percent,percent,
2021-04,2021,Ontario,"Total, all persons",Excellent or very good perceived health,55.1,52.9,57.2,percent,percent,
2021-04,2021,Ontario,"Total, all persons",Fair or poor perceived health,11.9,10.6,13.3,percent,percent,
2021-04,2021,Ontario,"Total, all persons",Good perceived health,33.0,31.0,35.1,percent,percent,
2021-04,2021,Ontario,Women,Excellent or very good perceived health,52.5,49.5,55.4,percent,percent,
