ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2015,2015,Alberta,Males,65 years and over,Consultation with a health professional about emotional or mental health,3.4,1.4,5.3,percent,percent,E
2015,2015,Alberta,Males,65 years and over,"Positive mental health, flourishing",82.6,77.8,87.4,percent,percent,
2015,2015,Alberta,Males,65 years and over,Suicidal thoughts (15 years and over),7.5,4.3,10.7,percent,percent,E
2015,2015,Alberta,Males,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,10.2,8.5,11.9,percent,percent,
2015,2015,Alberta,Males,"Total, 12 years and over","Positive mental health, flourishing",84.5,82.5,86.4,percent,percent,
2015,2015,Alberta,Males,"Total, 12 years and over",Suicidal thoughts (15 years and over),12.5,10.5,14.5,percent,percent,
2015,2015,British Columbia,Both sexes,12 to 17 years,Consultation with a health professional about emotional or mental health,10.3,7.0,13.7,percent,percent,E
2015,2015,British Columbia,Both sexes,12 to 17 years,"Positive mental health, flourishing",86.7,83.2,90.2,percent,percent,
2015,2015,British Columbia,Both sexes,12 to 17 years,Suicidal thoughts (15 years and over),10.7,6.1,15.3,percent,percent,E
2015,2015,British Columbia,Both sexes,18 to 34 years,Consultation with a health professional about emotional or mental health,16.6,13.7,19.5,percent,percent,
2015,2015,British Columbia,Both sexes,18 to 34 years,"Positive mental health, flourishing",79.5,76.3,82.6,percent,percent,
2015,2015,British Columbia,Both sexes,18 to 34 years,Suicidal thoughts (15 years and over),13.9,11.3,16.4,percent,percent,
2015,2015,British Columbia,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,16.8,14.3,19.4,percent,percent,
2015,2015,British Columbia,Both sexes,35 to 49 years,"Positive mental health, flourishing",77.5,74.2,80.8,percent,percent,
2015,2015,British Columbia,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),13.9,11.5,16.3,percent,percent,
2015,2015,British Columbia,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,12.9,10.7,15.1,percent,percent,
2015,2015,British Columbia,Both sexes,50 to 64 years,"Positive mental health, flourishing",79.7,76.6,82.7,percent,percent,
2015,2015,British Columbia,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),13.0,10.4,15.7,percent,percent,
2015,2015,British Columbia,Both sexes,65 years and over,Consultation with a health professional about emotional or mental health,9.7,7.8,11.5,percent,percent,
2015,2015,British Columbia,Both sexes,65 years and over,"Positive mental health, flourishing",82.0,79.5,84.5,percent,percent,
2015,2015,British Columbia,Both sexes,65 years and over,Suicidal thoughts (15 years and over),9.2,7.3,11.1,percent,percent,
2015,2015,British Columbia,Both sexes,"Total, 12 years and over",Consultation with a health professional about emotional or mental health,14.0,12.8,15.2,percent,percent,
2015,2015,British Columbia,Both sexes,"Total, 12 years and over","Positive mental health, flourishing",80.0,78.5,81.5,percent,percent,
2015,2015,British Columbia,Both sexes,"Total, 12 years and over",Suicidal thoughts (15 years and over),12.7,11.5,13.8,percent,percent,
2015,2015,British Columbia,Females,12 to 17 years,Consultation with a health professional about emotional or mental health,14.7,8.8,20.5,percent,percent,E
2015,2015,British Columbia,Females,12 to 17 years,"Positive mental health, flourishing",89.8,85.3,94.2,percent,percent,
2015,2015,British Columbia,Females,12 to 17 years,Suicidal thoughts (15 years and over),10.3,4.2,16.5,percent,percent,E
2015,2015,British Columbia,Females,18 to 34 years,Consultation with a health professional about emotional or mental health,23.5,18.8,28.3,percent,percent,
2015,2015,British Columbia,Females,18 to 34 years,"Positive mental health, flourishing",80.6,76.5,84.7,percent,percent,
2015,2015,British Columbia,Females,18 to 34 years,Suicidal thoughts (15 years and over),16.1,12.2,19.9,percent,percent,
2015,2015,British Columbia,Females,35 to 49 years,Consultation with a health professional about emotional or mental health,21.6,17.6,25.6,percent,percent,
2015,2015,British Columbia,Females,35 to 49 years,"Positive mental health, flourishing",79.5,75.3,83.6,percent,percent,
2015,2015,British Columbia,Females,35 to 49 years,Suicidal thoughts (15 years and over),17.9,14.0,21.8,percent,percent,
2015,2015,British Columbia,Females,50 to 64 years,Consultation with a health professional about emotional or mental health,15.9,12.7,19.1,percent,percent,
